subject,trial,P,T,W,M,label,v,a,t0,z,RT,response
1,1,84,392,1203,1595,self,7.407582340257552,2.783360679946777,0.22035258053700432,1.679116610060417,0.3083525805370044,1
1,2,84,392,1203,1595,stranger,1.2573629704184373,3.4291303154154225,0.3156952721687193,1.4048622595368325,1.0466952721687197,1
1,3,84,392,1203,1595,self,7.301548120868066,2.666589567525726,0.27149683200710345,1.4300665827890853,0.36949683200710354,1
1,5,84,392,1203,1595,self,6.814826951162516,2.2448091436276947,0.26500522736630155,0.8217165789688219,0.5130052273663017,1
1,6,84,392,1203,1595,stranger,1.9647367728076568,5.388859951217414,0.30755598786235216,1.7018191314386486,1.441555987862338,1
1,7,84,392,1203,1595,self,7.2087634635528355,3.9522106823015593,0.24028449983924505,1.9113712358443853,0.48928449983924527,1
1,9,84,392,1203,1595,self,6.8215096031036495,3.461339549000378,0.2628941898383017,0.876453134329872,0.693894189838302,1
1,10,84,392,1203,1595,stranger,1.7426040441434016,3.044022827900745,0.24925216904748496,1.7097728715830256,1.4512521690474633,1
1,11,84,392,1203,1595,self,7.021432741428377,4.796239652779306,0.26959753416316506,1.2509854706139663,0.8025975341631655,1
1,12,84,392,1203,1595,stranger,2.4835083492845933,2.7721337028652506,0.2562375927173096,1.426181253858456,0.5682375927173098,1
1,13,84,392,1203,1595,self,7.079763529356055,1.9190560434262023,0.28183360821220305,1.4692342076363754,0.37983360821220313,1
1,14,84,392,1203,1595,stranger,1.5931616444398609,2.3226294977365125,0.2829519467568472,1.7029237423506784,0.6329519467568474,1
1,15,84,392,1203,1595,self,7.73944832145642,2.1901066120745467,0.25713727031833344,2.01710915123991,0.28313727031833347,1
1,16,84,392,1203,1595,stranger,1.5527956475944449,3.319213605672679,0.25596916871701664,2.040961998322854,0.8349691687170171,1
1,17,84,392,1203,1595,self,7.169440637658109,3.560120430304776,0.24902214165789827,1.3188465515766843,0.5910221416578985,1
1,19,84,392,1203,1595,self,7.220585521481045,2.881961982861283,0.2008911300092543,1.9845094783863864,0.28389113000925437,1
1,20,84,392,1203,1595,stranger,1.9329195505697052,2.835031981464506,0.3458853414179596,1.4480409819307432,1.1958853414179602,1
1,21,84,392,1203,1595,self,6.822968273675688,3.934213728600979,0.3214583111722447,0.9140280223307344,0.717458311172245,1
1,22,84,392,1203,1595,stranger,1.846369813069948,3.542587725907902,0.22171605938104724,0.8923209475116676,1.5957160593810067,1
1,23,84,392,1203,1595,self,7.252770195155366,3.3434883252983383,0.2967280086588994,2.292544857525507,0.5247280086588996,1
1,25,84,392,1203,1595,self,7.248106910501189,2.567484757107496,0.2830867932525547,1.8886205771454263,0.3850867932525548,1
1,26,84,392,1203,1595,stranger,1.7871255386580238,4.134538206890142,0.28572348764915967,1.6811282418707576,1.5757234876491284,1
1,27,84,392,1203,1595,self,7.5714628860988675,3.447071314836866,0.2666783038290924,1.8671537004150929,0.43767830382909256,1
1,28,84,392,1203,1595,stranger,1.4334841534814593,3.346743770017393,0.3068085183158781,1.9599920358684768,1.7558085183158294,1
1,29,84,392,1203,1595,self,7.576075478979748,3.0132964353505645,0.2920358871780199,1.4474127150542992,0.42403588717802,1
1,30,84,392,1203,1595,stranger,1.8306975283317724,2.709627201004099,0.2867546728376571,1.522826726371262,0.46175467283765725,1
1,31,84,392,1203,1595,self,7.1575470179597165,3.6303193386384347,0.26434621858888024,2.2019369871407615,0.42534621858888033,1
1,32,84,392,1203,1595,stranger,1.490841682954769,3.027169962178071,0.3392728557716533,1.315755386317634,1.0042728557716538,1
1,33,84,392,1203,1595,self,7.470580512797593,2.1625067765657584,0.2609067018638231,1.9622736149103126,0.2799067018638231,1
1,34,84,392,1203,1595,stranger,1.9061054550273453,2.584972126513185,0.22060810791327795,1.5732324289952888,0.4216081079132781,1
1,35,84,392,1203,1595,self,7.6995048837218825,4.1053537488219325,0.19388348093311758,1.7059777084087744,0.5538834809331179,1
1,36,84,392,1203,1595,stranger,1.4124519679320349,3.6344582709560296,0.22326313760977304,0.8352077130985317,1.7532631376097154,1
1,37,84,392,1203,1595,self,7.4693893236286595,2.3962937097008554,0.2812649499754866,1.9457008731323922,0.4502649499754867,1
